,subcategoria,descricao_subcategoria,categoria,descricao_categoria,capitulo,descricao_capitulo,causa_violencia,causa_overdose
803,C052,Neoplasia maligna da úvula,C05,Neoplasia maligna do palato,II,Neoplasmas (tumores),0,0
804,C058,Neoplasia maligna do palato com lesão invasiva,C05,Neoplasia maligna do palato,II,Neoplasmas (tumores),0,0
805,C051,Neoplasia maligna do palato mole,C05,Neoplasia maligna do palato,II,Neoplasmas (tumores),0,0
806,C069,"Neoplasia maligna da boca, não especificada",C06,Neoplasia maligna de outras partes e de partes não especificadas da boca,II,Neoplasmas (tumores),0,0
807,C068,Neoplasia maligna de outras partes e de partes não especificadas da boca com lesão invasiva,C06,Neoplasia maligna de outras partes e de partes não especificadas da boca,II,Neoplasmas (tumores),0,0
808,C060,Neoplasia maligna da mucosa oral,C06,Neoplasia maligna de outras partes e de partes não especificadas da boca,II,Neoplasmas (tumores),0,0
809,C062,Neoplasia maligna da área retromolar,C06,Neoplasia maligna de outras partes e de partes não especificadas da boca,II,Neoplasmas (tumores),0,0
810,C061,Neoplasia maligna do vestíbulo da boca,C06,Neoplasia maligna de outras partes e de partes não especificadas da boca,II,Neoplasmas (tumores),0,0
811,C07,Neoplasia maligna da glândula parótida,C07,Neoplasia maligna da glândula parótida,II,Neoplasmas (tumores),0,0
812,C080,Neoplasia maligna da glândula submandibular,C08,Neoplasia maligna de outras glândulas salivares maiores e as não especificadas,II,Neoplasmas (tumores),0,0
813,C088,Neoplasia maligna das glândulas salivares maiores com lesão invasiva,C08,Neoplasia maligna de outras glândulas salivares maiores e as não especificadas,II,Neoplasmas (tumores),0,0
814,C089,"Neoplasia maligna da glândula salivar maior, não especificada",C08,Neoplasia maligna de outras glândulas salivares maiores e as não especificadas,II,Neoplasmas (tumores),0,0
815,C081,Neoplasia maligna da glândula sublingual,C08,Neoplasia maligna de outras glândulas salivares maiores e as não especificadas,II,Neoplasmas (tumores),0,0
816,C090,Neoplasia maligna da fossa amigdaliana,C09,Neoplasia maligna da amígdala,II,Neoplasmas (tumores),0,0
817,C099,"Neoplasia maligna da amígdala, não especificada",C09,Neoplasia maligna da amígdala,II,Neoplasmas (tumores),0,0
818,C091,Neoplasia maligna do pilar amigdaliano (anterior) (posterior),C09,Neoplasia maligna da amígdala,II,Neoplasmas (tumores),0,0
819,C098,Neoplasia maligna da amígdala com lesão invasiva,C09,Neoplasia maligna da amígdala,II,Neoplasmas (tumores),0,0
820,C101,Neoplasia maligna da face anterior da epiglote,C10,Neoplasia maligna da orofaringe,II,Neoplasmas (tumores),0,0
821,C109,"Neoplasia maligna da orofaringe, não especificada",C10,Neoplasia maligna da orofaringe,II,Neoplasmas (tumores),0,0
822,C100,Neoplasia maligna da valécula,C10,Neoplasia maligna da orofaringe,II,Neoplasmas (tumores),0,0
823,C108,Neoplasia maligna da orofaringe com lesão invasiva,C10,Neoplasia maligna da orofaringe,II,Neoplasmas (tumores),0,0
824,C102,Neoplasia maligna da parede lateral da orofaringe,C10,Neoplasia maligna da orofaringe,II,Neoplasmas (tumores),0,0
825,C103,Neoplasia maligna da parede posterior da orofaringe,C10,Neoplasia maligna da orofaringe,II,Neoplasmas (tumores),0,0
826,C104,Neoplasia maligna da fenda branquial,C10,Neoplasia maligna da orofaringe,II,Neoplasmas (tumores),0,0
827,C110,Neoplasia maligna da parede superior da nasofaringe,C11,Neoplasia maligna da nasofaringe,II,Neoplasmas (tumores),0,0
828,C119,"Neoplasia maligna da nasofaringe, não especificada",C11,Neoplasia maligna da nasofaringe,II,Neoplasmas (tumores),0,0
829,C118,Neoplasia maligna da nasofaringe com lesão invasiva,C11,Neoplasia maligna da nasofaringe,II,Neoplasmas (tumores),0,0
830,C113,Neoplasia maligna da parede anterior da nasofaringe,C11,Neoplasia maligna da nasofaringe,II,Neoplasmas (tumores),0,0
831,C112,Neoplasia maligna da parede lateral da nasofaringe,C11,Neoplasia maligna da nasofaringe,II,Neoplasmas (tumores),0,0
832,C111,Neoplasia maligna da parede posterior da nasofaringe,C11,Neoplasia maligna da nasofaringe,II,Neoplasmas (tumores),0,0
833,C12,Neoplasia maligna do seio piriforme,C12,Neoplasia maligna do seio piriforme,II,Neoplasmas (tumores),0,0
834,C131,"Neoplasia maligna da prega ariepiglótica, face hipofaríngea",C13,Neoplasia maligna da hipofaringe,II,Neoplasmas (tumores),0,0
835,C139,"Neoplasia maligna da hipofaringe, não especificada",C13,Neoplasia maligna da hipofaringe,II,Neoplasmas (tumores),0,0
836,C130,Neoplasia maligna da região pós-cricóidea,C13,Neoplasia maligna da hipofaringe,II,Neoplasmas (tumores),0,0
837,C132,Neoplasia maligna da parede posterior da hipofaringe,C13,Neoplasia maligna da hipofaringe,II,Neoplasmas (tumores),0,0
838,C138,Neoplasia maligna da hipofaringe com lesão invasiva,C13,Neoplasia maligna da hipofaringe,II,Neoplasmas (tumores),0,0
839,C140,"Neoplasia maligna da faringe, não especificada",C14,"Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe",II,Neoplasmas (tumores),0,0
840,C148,"Neoplasia maligna do lábio, cavidade oral e faringe com lesão invasiva",C14,"Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe",II,Neoplasmas (tumores),0,0
841,C142,Neoplasia maligna do anel de Waldeyer,C14,"Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe",II,Neoplasmas (tumores),0,0
842,C150,Neoplasia maligna da porção cervical do esôfago (esôfago cervical),C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
843,C151,Neoplasia maligna da porção torácica do esôfago (esôfago torácico),C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
844,C152,Neoplasia maligna da porção abdominal do esôfago (esôfago abdominal),C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
845,C158,Neoplasia maligna do esôfago com lesão invasiva,C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
846,C155,Neoplasia maligna do terço inferior do esôfago,C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
847,C153,Neoplasia maligna do terço superior do esôfago,C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
848,C159,"Neoplasia maligna do esôfago, não especificado",C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
849,C154,Neoplasia maligna do terço médio do esôfago,C15,Neoplasia maligna do esôfago,II,Neoplasmas (tumores),0,0
850,C161,Neoplasia maligna do fundo do estômago,C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
851,C165,"Neoplasia maligna da pequena curvatura do estômago, não especificada",C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
852,C162,Neoplasia maligna do corpo do estômago,C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
853,C163,Neoplasia maligna do antro pilórico,C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
854,C160,Neoplasia maligna da cárdia,C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
855,C166,"Neoplasia maligna da grande curvatura do estômago, não especificada",C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
856,C168,Neoplasia maligna do estômago com lesão invasiva,C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
857,C169,"Neoplasia maligna do estômago, não especificado",C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
858,C164,Neoplasia maligna do piloro,C16,Neoplasia maligna do estômago,II,Neoplasmas (tumores),0,0
859,C173,Neoplasia maligna do divertículo de Meckel,C17,Neoplasia maligna do intestino delgado,II,Neoplasmas (tumores),0,0
860,C178,Neoplasia maligna do intestino delgado com lesão invasiva,C17,Neoplasia maligna do intestino delgado,II,Neoplasmas (tumores),0,0
861,C172,Neoplasia maligna do íleo,C17,Neoplasia maligna do intestino delgado,II,Neoplasmas (tumores),0,0
862,C179,"Neoplasia maligna do intestino delgado, não especificado",C17,Neoplasia maligna do intestino delgado,II,Neoplasmas (tumores),0,0
863,C170,Neoplasia maligna do duodeno,C17,Neoplasia maligna do intestino delgado,II,Neoplasmas (tumores),0,0
864,C171,Neoplasia maligna do jejuno,C17,Neoplasia maligna do intestino delgado,II,Neoplasmas (tumores),0,0
865,C188,Neoplasia maligna do cólon com lesão invasiva,C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
866,C187,Neoplasia maligna do cólon sigmóide,C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
867,C183,Neoplasia maligna da flexura (ângulo) hepática(o),C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
868,C184,Neoplasia maligna do cólon transverso,C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
869,C189,"Neoplasia maligna do cólon, não especificado",C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
870,C186,Neoplasia maligna do cólon descendente,C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
871,C181,Neoplasia maligna do apêndice (vermiforme),C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
872,C185,Neoplasia maligna da flexura (ângulo) esplênica(o),C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
873,C182,Neoplasia maligna do cólon ascendente,C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
874,C180,Neoplasia maligna do ceco,C18,Neoplasia maligna do cólon,II,Neoplasmas (tumores),0,0
875,C19,Neoplasia maligna da junção retossigmóide,C19,Neoplasia maligna da junção retossigmóide,II,Neoplasmas (tumores),0,0
876,C20,Neoplasia maligna do reto,C20,Neoplasia maligna do reto,II,Neoplasmas (tumores),0,0
877,C218,"Neoplasia maligna do reto, ânus e do canal anal com lesão invasiva",C21,Neoplasia maligna do ânus e do canal anal,II,Neoplasmas (tumores),0,0
878,C211,Neoplasia maligna do canal anal,C21,Neoplasia maligna do ânus e do canal anal,II,Neoplasmas (tumores),0,0
879,C210,"Neoplasia maligna do ânus, não especificado",C21,Neoplasia maligna do ânus e do canal anal,II,Neoplasmas (tumores),0,0
880,C212,Neoplasia maligna da zona cloacogênica,C21,Neoplasia maligna do ânus e do canal anal,II,Neoplasmas (tumores),0,0
881,C221,Carcinoma de vias biliares intra-hepáticas,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,II,Neoplasmas (tumores),0,0
882,C223,Angiossarcoma do fígado,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,II,Neoplasmas (tumores),0,0
883,C222,Hepatoblastoma,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,II,Neoplasmas (tumores),0,0
884,C224,Outros sarcomas do fígado,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,II,Neoplasmas (tumores),0,0
885,C220,Carcinoma de células hepáticas,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,II,Neoplasmas (tumores),0,0
886,C229,"Neoplasia maligna do fígado, não especificada",C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,II,Neoplasmas (tumores),0,0
887,C227,Outros carcinomas especificados do fígado,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,II,Neoplasmas (tumores),0,0
888,C23,Neoplasia maligna da vesícula biliar,C23,Neoplasia maligna da vesícula biliar,II,Neoplasmas (tumores),0,0
889,C249,"Neoplasia maligna da via biliar, não especificada",C24,"Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares",II,Neoplasmas (tumores),0,0
890,C241,Neoplasia maligna da ampola de Vater,C24,"Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares",II,Neoplasmas (tumores),0,0
891,C240,Neoplasia maligna das vias biliares extra-hepáticas,C24,"Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares",II,Neoplasmas (tumores),0,0
892,C248,Neoplasia maligna das vias biliares com lesão invasiva,C24,"Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares",II,Neoplasmas (tumores),0,0
893,C253,Neoplasia maligna do canal pancreático,C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
894,C259,"Neoplasia maligna do pâncreas, não especificado",C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
895,C250,Neoplasia maligna da cabeça do pâncreas,C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
896,C252,Neoplasia maligna da cauda do pâncreas,C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
897,C251,Neoplasia maligna do corpo do pâncreas,C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
898,C258,Neoplasia maligna do pâncreas com lesão invasiva,C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
899,C257,Neoplasia maligna de outras partes do pâncreas,C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
900,C254,Neoplasia maligna do pâncreas endócrino,C25,Neoplasia maligna do pâncreas,II,Neoplasmas (tumores),0,0
901,C261,Neoplasia maligna do baço,C26,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo,II,Neoplasmas (tumores),0,0
902,C269,Neoplasia maligna de localizações mal definidas dentro do aparelho digestivo,C26,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo,II,Neoplasmas (tumores),0,0
903,C268,Neoplasia maligna do aparelho digestivo com lesão invasiva,C26,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo,II,Neoplasmas (tumores),0,0
904,C260,"Neoplasia maligna do trato intestinal, parte não especificada",C26,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo,II,Neoplasmas (tumores),0,0
905,C300,Neoplasia maligna da cavidade nasal,C30,Neoplasia maligna da cavidade nasal e do ouvido médio,II,Neoplasmas (tumores),0,0
906,C301,Neoplasia maligna do ouvido médio,C30,Neoplasia maligna da cavidade nasal e do ouvido médio,II,Neoplasmas (tumores),0,0
907,C310,Neoplasia maligna do seio maxilar,C31,Neoplasia maligna dos seios da face,II,Neoplasmas (tumores),0,0
908,C319,"Neoplasia maligna do seio da face, não especificado",C31,Neoplasia maligna dos seios da face,II,Neoplasmas (tumores),0,0
909,C313,Neoplasia maligna do seio esfenoidal,C31,Neoplasia maligna dos seios da face,II,Neoplasmas (tumores),0,0
910,C318,Neoplasia maligna dos seios da face com lesão invasiva,C31,Neoplasia maligna dos seios da face,II,Neoplasmas (tumores),0,0
911,C311,Neoplasia maligna do seio etmoidal,C31,Neoplasia maligna dos seios da face,II,Neoplasmas (tumores),0,0
912,C312,Neoplasia maligna do seio frontal,C31,Neoplasia maligna dos seios da face,II,Neoplasmas (tumores),0,0
913,C323,Neoplasia maligna das cartilagens da laringe,C32,Neoplasia maligna da laringe,II,Neoplasmas (tumores),0,0
914,C328,Neoplasia maligna da laringe com lesão invasiva,C32,Neoplasia maligna da laringe,II,Neoplasmas (tumores),0,0
915,C321,Neoplasia maligna da região supraglótica,C32,Neoplasia maligna da laringe,II,Neoplasmas (tumores),0,0
916,C329,"Neoplasia maligna da laringe, não especificada",C32,Neoplasia maligna da laringe,II,Neoplasmas (tumores),0,0
917,C322,Neoplasia maligna da região subglótica,C32,Neoplasia maligna da laringe,II,Neoplasmas (tumores),0,0
918,C320,Neoplasia maligna da glote,C32,Neoplasia maligna da laringe,II,Neoplasmas (tumores),0,0
919,C33,Neoplasia maligna da traquéia,C33,Neoplasia maligna da traquéia,II,Neoplasmas (tumores),0,0
920,C342,"Neoplasia maligna do lobo médio, brônquio ou pulmão",C34,Neoplasia maligna dos brônquios e dos pulmões,II,Neoplasmas (tumores),0,0
921,C341,"Neoplasia maligna do lobo superior, brônquio ou pulmão",C34,Neoplasia maligna dos brônquios e dos pulmões,II,Neoplasmas (tumores),0,0
922,C349,"Neoplasia maligna dos brônquios ou pulmões, não especificado",C34,Neoplasia maligna dos brônquios e dos pulmões,II,Neoplasmas (tumores),0,0
923,C343,"Neoplasia maligna do lobo inferior, brônquio ou pulmão",C34,Neoplasia maligna dos brônquios e dos pulmões,II,Neoplasmas (tumores),0,0
924,C348,Neoplasia maligna dos brônquios e dos pulmões com lesão invasiva,C34,Neoplasia maligna dos brônquios e dos pulmões,II,Neoplasmas (tumores),0,0
925,C340,Neoplasia maligna do brônquio principal,C34,Neoplasia maligna dos brônquios e dos pulmões,II,Neoplasmas (tumores),0,0
926,C37,Neoplasia maligna do timo,C37,Neoplasia maligna do timo,II,Neoplasmas (tumores),0,0
927,C384,Neoplasia maligna da pleura,C38,"Neoplasia maligna do coração, mediastino e pleura",II,Neoplasmas (tumores),0,0
928,C388,"Neoplasia maligna do coração, mediastino e pleura com lesão invasiva",C38,"Neoplasia maligna do coração, mediastino e pleura",II,Neoplasmas (tumores),0,0
929,C382,Neoplasia maligna do mediastino posterior,C38,"Neoplasia maligna do coração, mediastino e pleura",II,Neoplasmas (tumores),0,0
930,C383,"Neoplasia maligna do mediastino, porção não especificada",C38,"Neoplasia maligna do coração, mediastino e pleura",II,Neoplasmas (tumores),0,0
931,C381,Neoplasia maligna do mediastino anterior,C38,"Neoplasia maligna do coração, mediastino e pleura",II,Neoplasmas (tumores),0,0
932,C380,Neoplasia maligna do coração,C38,"Neoplasia maligna do coração, mediastino e pleura",II,Neoplasmas (tumores),0,0
933,C390,"Neoplasia maligna do trato respiratório superior, porção não especificada",C39,Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos,II,Neoplasmas (tumores),0,0
934,C398,Neoplasia maligna do aparelho respiratório e dos órgãos intratorácicos com lesão invasiva,C39,Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos,II,Neoplasmas (tumores),0,0
935,C399,Neoplasia maligna de localizações mal definidas do aparelho respiratório,C39,Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos,II,Neoplasmas (tumores),0,0
936,C401,Neoplasia maligna dos ossos curtos dos membros superiores,C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros,II,Neoplasmas (tumores),0,0
937,C402,Neoplasia maligna dos ossos longos dos membros inferiores,C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros,II,Neoplasmas (tumores),0,0
938,C409,Neoplasia maligna dos ossos e cartilagens articulares de membro não especificado,C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros,II,Neoplasmas (tumores),0,0
939,C408,Neoplasia maligna dos ossos e cartilagens articulares dos membros com lesão invasiva,C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros,II,Neoplasmas (tumores),0,0
940,C403,Neoplasia maligna dos ossos curtos dos membros inferiores,C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros,II,Neoplasmas (tumores),0,0
941,C400,Neoplasia maligna da omoplata [escápula] e ossos longos dos membros superiores,C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros,II,Neoplasmas (tumores),0,0
942,C411,Neoplasia maligna da mandíbula,C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas,II,Neoplasmas (tumores),0,0
943,C410,Neoplasia maligna dos ossos do crânio e da face,C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas,II,Neoplasmas (tumores),0,0
944,C414,"Neoplasia maligna dos ossos da pelve, sacro e cóccix",C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas,II,Neoplasmas (tumores),0,0
945,C418,Neoplasia maligna dos ossos e das cartilagens articulares com lesão invasiva,C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas,II,Neoplasmas (tumores),0,0
946,C413,"Neoplasia maligna das costelas, esterno e clavícula",C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas,II,Neoplasmas (tumores),0,0
947,C419,"Neoplasia maligna dos ossos e cartilagens articulares, não especificados",C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas,II,Neoplasmas (tumores),0,0
948,C412,Neoplasia maligna da coluna vertebral,C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas,II,Neoplasmas (tumores),0,0
949,C434,Melanoma maligno do couro cabeludo e do pescoço,C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
950,C431,"Melanoma maligno da pálpebra, incluindo as comissuras palpebrais",C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
951,C436,"Melanoma maligno do membro superior, incluindo ombro",C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
952,C438,Melanoma maligno invasivo da pele,C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
953,C430,Melanoma maligno do lábio,C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
954,C437,"Melanoma maligno do membro inferior, incluindo quadril",C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
955,C433,Melanoma maligno de outras partes e partes não especificadas da face,C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
956,C432,Melanoma maligno da orelha e do conduto auditivo externo,C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
957,C439,"Melanoma maligno de pele, não especificado",C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
958,C435,Melanoma maligno do tronco,C43,Melanoma maligno da pele,II,Neoplasmas (tumores),0,0
959,C445,Neoplasia maligna da pele do tronco,C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
960,C443,Neoplasia maligna da pele de outras partes e de partes não especificadas da face,C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
961,C446,"Neoplasia maligna da pele do membro superior, incluindo ombro",C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
962,C441,"Neoplasia maligna da pele da pálpebra, incluindo o canto",C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
963,C448,Neoplasia maligna da pele com lesão invasiva,C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
964,C440,Neoplasia maligna da pele do lábio,C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
965,C444,Neoplasia maligna da pele do couro cabeludo e do pescoço,C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
966,C449,"Neoplasia maligna da pele, não especificada",C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
967,C442,Neoplasia maligna da pele da orelha e do conduto auditivo externo,C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
968,C447,"Neoplasia maligna da pele do membro inferior, incluindo quadril",C44,Outras neoplasias malignas da pele,II,Neoplasmas (tumores),0,0
969,C450,Mesotelioma da pleura,C45,Mesotelioma,II,Neoplasmas (tumores),0,0
970,C459,"Mesotelioma, não especificado",C45,Mesotelioma,II,Neoplasmas (tumores),0,0
971,C451,Mesotelioma do peritônio,C45,Mesotelioma,II,Neoplasmas (tumores),0,0
972,C457,Mesotelioma de outras localizações,C45,Mesotelioma,II,Neoplasmas (tumores),0,0
973,C452,Mesotelioma do pericárdio,C45,Mesotelioma,II,Neoplasmas (tumores),0,0
974,C469,"Sarcoma de Kaposi, não especificado",C46,Sarcoma de Kaposi,II,Neoplasmas (tumores),0,0
975,C460,Sarcoma de Kaposi da pele,C46,Sarcoma de Kaposi,II,Neoplasmas (tumores),0,0
976,C468,Sarcoma de Kaposi de múltiplos órgãos,C46,Sarcoma de Kaposi,II,Neoplasmas (tumores),0,0
977,C467,Sarcoma de Kaposi de outras localizações,C46,Sarcoma de Kaposi,II,Neoplasmas (tumores),0,0
978,C463,Sarcoma de Kaposi dos gânglios linfáticos,C46,Sarcoma de Kaposi,II,Neoplasmas (tumores),0,0
979,C462,Sarcoma de Kaposi do palato,C46,Sarcoma de Kaposi,II,Neoplasmas (tumores),0,0
980,C461,Sarcoma de Kaposi de tecidos moles,C46,Sarcoma de Kaposi,II,Neoplasmas (tumores),0,0
981,C470,"Neoplasia maligna dos nervos periféricos da cabeça, face e pescoço",C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
982,C475,Neoplasia maligna dos nervos periféricos da pelve,C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
983,C471,"Neoplasia maligna dos nervos periféricos dos membros superiores, incluindo ombro",C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
984,C474,Neoplasia maligna dos nervos periféricos do abdome,C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
985,C478,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo com lesão invasiva,C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
986,C479,"Neoplasia maligna dos nervos periféricos e sistema nervoso autônomo, não especificados",C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
987,C476,Neoplasia maligna dos nervos periféricos do tronco,C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
988,C473,Neoplasia maligna dos nervos periféricos do tórax,C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
989,C472,"Neoplasia maligna dos nervos periféricos dos membros inferiores, incluindo quadril",C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo,II,Neoplasmas (tumores),0,0
990,C488,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio com lesão invasiva,C48,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio,II,Neoplasmas (tumores),0,0
991,C481,Neoplasia maligna de partes especificadas do peritônio,C48,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio,II,Neoplasmas (tumores),0,0
992,C480,Neoplasia maligna do retroperitônio,C48,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio,II,Neoplasmas (tumores),0,0
993,C482,Neoplasia maligna do peritônio,C48,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio,II,Neoplasmas (tumores),0,0
994,C494,Neoplasia maligna do tecido conjuntivo e tecidos moles do abdome,C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
995,C495,Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve,C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
996,C496,Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco,C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
997,C493,Neoplasia maligna do tecido conjuntivo e tecidos moles do tórax,C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
998,C492,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros inferiores, incluindo quadril",C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
999,C498,Neoplasia maligna do tecido conjuntivo e dos tecidos moles com lesão invasiva,C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
1000,C491,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro",C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
1001,C490,"Neoplasia maligna do tecido conjuntivo e tecidos moles da cabeça, face e pescoço",C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
1002,C499,"Neoplasia maligna do tecido conjuntivo e tecidos moles, não especificados",C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,II,Neoplasmas (tumores),0,0
